Trade Date;Trade Type;Short Name;Future Expiry;Strike;Call/Put;Quantity;Vol;Premium;Futures Price
01/18/2024 11:42:17;Delta Option Trade;WMAZ;Mar24;3600;P;3;31,75;11882,33;3654
01/18/2024 12:13:10;Delta Option Trade;YMAZ;Mar24;3500;P;15;26,5;10008,62;3535
01/18/2024 11:41:11;Structured Trade;WMAZ;Dec24;3360;P;4;20;8854,43;3852,8
01/18/2024 11:41:11;Structured Trade;WMAZ;Dec24;4360;C;4;20,5;11989,58;3852,8
01/18/2024 10:49:52;Delta Option Trade;WMAZ;Jul24;4080;P;10;20,68;48100;3663
01/18/2024 10:50:08;Delta Option Trade;WMAZ;Jul24;4100;P;20;20,65;49700;3663
01/18/2024 10:50:26;Delta Option Trade;WMAZ;Jul24;4280;P;10;20,72;65100;3663
01/18/2024 11:24:07;Delta Option Trade;WMAZ;Jul24;3680;C;40;21,48;20100;3668
01/18/2024 11:24:29;Delta Option Trade;WMAZ;Jul24;3380;P;40;19,95;7500;3668
01/18/2024 10:28:51;Structured Trade;WMAZ;Mar24;3500;P;10;31;7775;3646
01/18/2024 10:28:54;Structured Trade;WMAZ;Mar24;3600;P;10;31,25;11998;3646
01/18/2024 10:58:16;Structured Trade;WMAZ;May24;3440;P;6;20,2;8275;3590,88
01/18/2024 10:58:16;Structured Trade;WMAZ;May24;3440;P;2;20;8143;3590,88
01/18/2024 10:58:17;Structured Trade;WMAZ;May24;3760;C;2;20,25;8305;3590,88
01/18/2024 12:01:51;Structured Trade;WMAZ;Mar24;4500;C;9;33,25;365;3654
01/18/2024 12:01:51;Structured Trade;WMAZ;Mar24;4400;C;5;33,1;614;3654
01/18/2024 12:48:04;Structured Option Trade;YMAZ;May24;3440;P;2;20;8143;3590,88
01/18/2024 12:48:05;Structured Option Trade;YMAZ;May24;3760;C;2;20,25;8305;3590,88
01/18/2024 12:48:05;Structured Option Trade;YMAZ;May24;3440;P;6;20,2;8275;3590,88
01/18/2024 09:22:51;Structured Trade;WMAZ;Jul24;3760;C;10;21,5;17433;3684,6
01/18/2024 09:25:20;Structured Trade;WMAZ;Jul24;3600;P;10;21,5;16583;3684,6
01/18/2024 11:31:31;Delta Option Trade;WMAZ;Jul24;3660;C;5;22,25;21744;3667,3
01/18/2024 10:48:22;Delta Option Trade;YMAZ;Jul24;3600;C;2;21;19902;3601,4
01/18/2024 12:01:16;Delta Option Trade;WMAZ;Jul24;3640;C;1;20,5;19857;3645,4
01/18/2024 11:06:10;Delta Option Trade;WMAZ;Mar24;3800;C;30;31,25;8354;3651,82
01/18/2024 12:01:19;Delta Option Trade;YMAZ;Jul24;3600;C;4;21;19200;3588
01/18/2024 11:59:47;Delta Option Trade;WMAZ;Dec24;3900;C;20;21,84;29400;3863
01/18/2024 11:59:48;Delta Option Trade;WMAZ;Dec24;3900;C;10;21,85;29000;3855
01/18/2024 12:12:19;Structured Option Trade;YMAZ;Jul24;3460;P;30;18,75;11461,52;3594,02
01/18/2024 12:12:21;Structured Option Trade;YMAZ;Jul24;3600;C;30;18,75;17393,74;3594,0158
01/18/2024 12:12:21;Structured Option Trade;YMAZ;Jul24;3740;C;30;21,75;14420,4;3594,0158
01/18/2024 09:56:36;Structured Option Trade;WMAZ;Mar24;3760;C;70;32;9593;3640
01/18/2024 09:57:20;Structured Option Trade;YMAZ;Mar24;3680;C;30;29;7424,08;3544
01/18/2024 12:01:51;Structured Trade;WMAZ;Mar24;4200;C;4;33;1682;3654
01/18/2024 12:21:41;Structured Option Trade;WMAZ;Mar24;4400;C;5;33,25;629;3654
01/18/2024 10:58:16;Structured Trade;WMAZ;May24;3580;C;3;21;16028;3590,88
01/18/2024 10:58:17;Structured Trade;WMAZ;May24;3580;C;2;21;16028;3590,88
01/18/2024 12:39:31;Structured Trade;WMAZ;May24;3760;C;2;20,25;8305;3590,88
01/18/2024 12:39:32;Structured Trade;WMAZ;May24;3440;P;2;20;8143;3590,88
01/18/2024 12:42:36;Structured Trade;WMAZ;May24;3440;P;6;20,2;8275;3590,88
01/18/2024 12:48:05;Structured Option Trade;YMAZ;May24;3580;C;2;21;16028;3590,88
01/18/2024 12:48:05;Structured Option Trade;YMAZ;May24;3580;C;3;21;16028;3590,88
01/18/2024 11:41:11;Structured Trade;WMAZ;Dec24;3860;C;4;20,5;28757,15;3852,8
