Name;Last;Chg.% 1D Chg.Abs.;DateTime;ISIN;Turnover Volume;Bid Volume;Ask Volume;Maturity;Status
0,85% Bundesanl. 2020-2120/4;48.590;+2.34%+1.110;03/11/202414:39:54;AT0000A2HLC4;114,000;48.20046,000;48.770947,000;06/30/2120;q
PV-Invest 4,15% Anleihe 17-24;100.000;+2.56%+2.500;03/11/202414:16:13;AT0000A1YY14;6,000;--;--;12/18/2024;N
BAWAGPSK WBB 3,7% WA 23-33/S2;103.800;-0.15%-0.160;03/11/202414:15:23;AT0000A36X93;52,000;--;--;11/29/2033;N
BAWAG P.S.K.WB.WD13-28/02;96.310;-0.01%-0.010;03/11/202414:15:16;AT0000A0Y1R8;100,000;--;--;01/18/2028;N
Hypo-WBB WA OOE. 15-27/8;92.800;+0.27%+0.250;03/11/202414:15:12;AT0000A1D301;41,000;--;--;02/18/2027;N
RWBB vario WSV 16-28/RLBTirol;94.360;-0.15%-0.140;03/11/202414:15:10;AT000B124565;8,000;--;--;10/10/2028;N
RWBB 0,25-1,35%StzWSV 16-26/16;93.800;0.00%0.000;03/11/202414:15:09;AT000B124599;42,000;--;--;10/19/2026;N
RLBTir Regional Anl 17-24/1;97.810;+0.01%+0.010;03/11/202414:15:03;AT0000A1Z015;40,000;--;--;12/04/2024;N
AAB variabler Pfandbrief 23-26;100.000;0.00%0.000;03/11/202414:15:01;AT0000A37PF4;20,000;--;--;10/30/2026;N
HWBB 4,00% WB-WA 23-33/13, VBG;104.700;0.00%0.000;03/11/202413:59:49;AT0000A373X5;16,000;104.5501,000,000;104.700192,000;10/18/2033;q
HYPO-WOHN.WANDEL.16-27/13;97.350;+1.56%+1.500;03/11/202413:59:39;AT0000A1MCE1;235,000;95.90017,500;--;08/09/2027;q
3BK-WBB Stuf.Zins.WA.  13-25;100.000;-0.74%-0.750;03/11/202413:15:37;AT0000A107M0;44,400;--;--;05/27/2025;N
RLBStmk 4,15% nrFixz.A16-26/17;97.000;-1.02%-1.000;03/11/202413:15:31;AT000B092895;2,000;--;--;07/27/2026;N
HWBB DYNAMIK WA OOe14-25/15;97.500;0.00%0.000;03/11/202413:00:29;AT0000A19RW3;40,000;--;--;09/24/2025;N
EGB 1,80% Anl. II 22-25/1751;96.450;-0.05%-0.050;03/11/202413:00:27;AT0000A2ZU32;2,000;--;--;09/05/2025;N
BTV Kapitalschutzanl.19-26/9;110.770;+0.12%+0.130;03/11/202413:00:25;AT0000A28KA5;60,000;--;--;07/29/2026;N
BKS 3% Nr. Obl. 20-30/3;91.300;0.00%0.000;03/11/202413:00:25;AT0000A2HL84;10,000;--;--;07/31/2030;N
BTV GMFL 22-28/9;96.660;+0.90%+0.860;03/11/202413:00:22;AT0000A2Z708;66,000;--;--;08/30/2028;N
RBI Inflations-Anl. 22-27/257;90.030;0.00%0.000;03/11/202413:00:04;AT000B015417;80,000;--;--;10/13/2027;N
BTV Stuzi Obl 22-27/8;95.610;+0.25%+0.240;03/11/202413:00:04;AT0000A2Z6W4;64,000;--;--;08/30/2027;N
2,90% Bundesanl. 2023-2033/1;101.390;-0.15%-0.150;03/11/202411:58:11;AT0000A324S8;38,000;101.290981,000;101.4401,000,000;02/20/2033;q
1,50% Bundesanl. 2016-2047/2;75.900;-0.07%-0.050;03/11/202411:30:35;AT0000A1K9F1;4,000;75.7301,000,000;75.890998,000;02/20/2047;q
Wienerberger Sust.Link.B.23-28;105.170;+0.22%+0.230;03/11/202411:25:37;AT0000A37249;24,000;104.600100,000;105.09038,000;10/04/2028;C
3,5% Hypo-WBB WA NOe 05-25/26;97.750;+0.01%+0.010;03/11/202411:24:30;AT0000491162;14,000;97.750100,000;99.000-;06/01/2025;q
Hypo-WBB WA NOE. 13-28/17;95.780;+0.54%+0.510;03/11/202411:23:23;AT0000A0ZK93;34,000;95.750100,000;97.500-;03/05/2028;q
