Name;Last;Chg.% 1D Chg.Abs.;DateTime;ISIN;Turnover Volume;Bid Volume;Ask Volume;Maturity;Status
HYP.W WB.WDL 13-26/10;99.100;+0.87%+0.850;02/29/202410:30:55;AT0000A0ZDU9;10,400;99.10011,800;99.250-;03/20/2026;q
UBM 2,75% Anleihe 2019-2025;92.000;+0.24%+0.220;02/29/202409:48:51;AT0000A2AX04;4,000;90.30010,000;92.0006,500;11/13/2025;C
Pierer Industrie 2,5%Anl.20-28;93.250;-0.35%-0.330;02/29/202409:24:23;AT0000A2JSQ5;10,000;91.76090,000;93.2504,000;04/22/2028;C
Hypo-WBB St.Zi.WA NOE19-31/5S2;86.150;+0.03%+0.030;02/29/202409:16:59;AT0000A25YS4;-;86.150100,000;88.300-;07/23/2031;q
HWBB 4,00% WB-WA 23-34/12 NOE;99.960;+0.10%+0.100;02/29/202409:16:59;AT0000A372V1;-;102.2004,000;102.990-;04/11/2034;q
HYPO NOE 3,8% SV 23-26/03;97.780;-0.03%-0.030;02/29/202409:16:59;AT0000A35A00;-;97.780100,000;99.430-;06/09/2026;q
1,65% Hypo-WBB WA NOE19-31/4S1;83.610;+0.04%+0.030;02/29/202409:16:59;AT0000A25YR6;-;83.610100,000;85.760-;07/23/2031;q
Hypo-WBB WA NOE. 15-30/19;87.830;0.00%0.000;02/29/202409:16:58;AT0000A1HQ64;-;87.95014,000;89.880-;12/17/2030;q
Hypo-WBB WA NOE. 15-28/20;93.530;+0.01%+0.010;02/29/202409:16:58;AT0000A1HQ72;-;94.0009,000;95.380-;12/18/2028;q
Hypo-WBB WA NOE. 15-27/7;96.420;-0.10%-0.100;02/29/202409:16:58;AT0000A1CBD6;-;96.420100,000;98.070-;01/21/2027;q
Hypo-WBB WA NOE. 15-30/6;87.030;-0.03%-0.030;02/29/202409:16:58;AT0000A1CBC8;-;87.20012,000;88.980-;01/21/2030;q
Hypo-WBB WA NOE. 14-26/9;97.130;+0.01%+0.010;02/29/202409:16:57;AT0000A15VT9;-;97.3009,000;98.780-;03/12/2026;q
Hypo-WBB WA NOE. 13-28/17;94.810;-0.04%-0.040;02/29/202409:16:57;AT0000A0ZK93;-;98.00010,000;96.660-;03/05/2028;q
Hypo-WBB WA NOE. 13-25/16;98.680;0.00%0.000;02/29/202409:16:57;AT0000A0ZK85;-;98.80018,000;99.930-;03/05/2025;q
