Trade Date;Trade Type;Short Name;Future Expiry;Strike;Call/Put;Quantity;Vol;Premium;Futures Price
03/11/2024 11:53:08;Delta Option Trade;WMAZ;Jul24;6200;C;25;36;12936;5298
03/11/2024 11:53:09;Delta Option Trade;WMAZ;Jul24;5200;P;25;32.5;31764;5298
03/11/2024 09:57:04;Delta Option Trade;YMAZ;Jul24;4060;P;5;22.9;14100;4197
03/11/2024 10:16:52;Delta Option Trade;WMAZ;Jul24;4300;C;5;30.76;99300;5250
03/11/2024 10:46:53;Delta Option Trade;YMAZ;Jul24;4000;C;14;23.02;35200;4250
03/11/2024 09:55:25;Structured Trade;WMAZ;Jul24;5500;C;45;35;29880;5271.6999
03/11/2024 11:39:05;Structured Trade;WMAZ;Jul24;4600;C;10;32.5;77247;5260
03/11/2024 11:39:05;Structured Trade;WMAZ;Jul24;4500;C;7;33;84921;5260
03/11/2024 10:37:21;Structured Trade;WMAZ;Jul24;3920;P;30;31.75;1270;5275
03/11/2024 09:59:22;Delta Option Trade;WMAZ;Mar25;5600;C;2;21.74;31000;5260
03/11/2024 09:59:40;Delta Option Trade;WMAZ;Mar25;5260;P;2;22.53;46200;5260
03/11/2024 09:59:56;Delta Option Trade;WMAZ;Mar25;4800;P;2;21.23;22600;5260
03/11/2024 10:40:08;Delta Option Trade;WMAZ;Jul24;4360;C;5;31.83;94900;5252
03/11/2024 12:28:11;Delta Option Trade;WMAZ;Dec24;5600;C;5;25.44;36000;5366
03/11/2024 12:28:29;Delta Option Trade;WMAZ;Dec24;5100;P;5;24.68;31300;5366
03/11/2024 12:28:53;Delta Option Trade;WMAZ;Dec24;5600;C;44;25.44;36000;5366
03/11/2024 12:29:05;Delta Option Trade;WMAZ;Dec24;5100;P;44;24.68;31300;5366
03/11/2024 12:29:31;Delta Option Trade;WMAZ;Dec24;5600;C;4;25.44;36000;5366
03/11/2024 12:29:43;Delta Option Trade;WMAZ;Dec24;5100;P;4;24.68;31300;5366
03/11/2024 12:30:05;Delta Option Trade;WMAZ;Dec24;5600;C;4;25.44;36000;5366
03/11/2024 12:30:17;Delta Option Trade;WMAZ;Dec24;5100;P;4;24.68;31300;5366
03/11/2024 12:30:39;Delta Option Trade;WMAZ;Dec24;5600;C;1;25.44;36000;5366
03/11/2024 12:30:52;Delta Option Trade;WMAZ;Dec24;5100;P;1;24.68;31300;5366
03/11/2024 12:31:12;Delta Option Trade;WMAZ;Dec24;5600;C;2;25.44;36000;5366
03/11/2024 12:31:24;Delta Option Trade;WMAZ;Dec24;5100;P;2;24.68;31300;5366
03/11/2024 12:19:24;Delta Option Trade;WMAZ;Jul24;7000;C;50;39.75;5782;5296
03/11/2024 12:35:02;Delta Option Trade;WMAZ;Jul24;5200;P;200;32.7;32199;5293
03/11/2024 12:35:02;Delta Option Trade;WMAZ;Jul24;6200;C;200;33.9;11023;5293
03/11/2024 11:19:58;Delta Option Trade;WMAZ;Jul24;7000;C;50;40;5793;5285
03/11/2024 11:33:36;Delta Option Trade;WMAZ;Jul24;5300;C;1;32.8;36829;5294
03/11/2024 11:33:36;Delta Option Trade;WMAZ;Jul24;5200;P;2;32.8;32268;5294
03/11/2024 12:19:55;Delta Option Trade;WMAZ;Jul24;5000;P;4;33.5;26437;5225
03/11/2024 11:08:01;Delta Option Trade;WMAZ;Dec24;5380;P;5;27;48847;5377
03/11/2024 11:08:03;Delta Option Trade;WMAZ;Dec24;5380;C;5;27;48547;5377
03/11/2024 09:55:28;Structured Trade;WMAZ;Jul24;5000;C;45;33.5;51928;5271.6999
03/11/2024 10:37:05;Structured Trade;WMAZ;Jul24;4320;P;30;31;4432;5275
03/11/2024 11:39:05;Structured Trade;WMAZ;Jul24;5300;C;10;32.5;34706;5260
03/11/2024 11:39:05;Structured Trade;WMAZ;Jul24;5300;C;7;32.5;34706;5260
03/11/2024 09:30:42;Delta Option Trade;WMAZ;Jul24;5300;P;2;34.5;39208;5297
03/11/2024 12:09:06;Delta Option Trade;WMAZ;Jul24;5000;P;4;33.5;26437;5225
03/11/2024 12:39:43;Delta Option Trade;WMAZ;Jul24;5000;P;3;33.5;26437;5225
03/11/2024 11:39:01;Delta Option Trade;WMAZ;Jul24;4500;C;2;32;87183;5295
03/11/2024 11:44:35;Delta Option Trade;WMAZ;Jul24;5280;P;10;33;37002;5285
03/11/2024 11:56:05;Delta Option Trade;WMAZ;Jul24;4500;C;3;32;83388;5250
03/11/2024 09:59:48;Delta Option Trade;SOYA;May24;8580;C;20;25;14825.04;8579
03/11/2024 10:00:25;Delta Option Trade;SOYA;May24;8080;P;20;23;4355;8579
03/11/2024 10:12:35;Delta Option Trade;WMAZ;Jul24;5200;C;10;32.5;41564;5298
03/11/2024 10:22:03;Delta Option Trade;WMAZ;Jul24;5900;C;20;35.17;17800;5272
03/11/2024 11:53:09;Delta Option Trade;WMAZ;Jul24;4400;P;25;32.5;6165;5298
03/11/2024 11:53:09;Delta Option Trade;WMAZ;Jul24;5500;C;25;34;29944;5298
03/11/2024 12:35:02;Delta Option Trade;WMAZ;Jul24;4400;P;200;31.2;5483;5293
03/11/2024 12:35:02;Delta Option Trade;WMAZ;Jul24;5500;C;200;33.6;29268;5293
03/11/2024 11:58:32;Delta Option Trade;YMAZ;Jul24;4220;P;3;24;21373;4226
