Trade Date;Trade Type;Short Name;Future Expiry;Strike;Call/Put;Quantity;Vol;Premium;Futures Price
02/12/2024 12:06:34;Delta Option Trade;YMAZ;May24;3800;P;3;127.9999;14855;3799
02/12/2024 12:06:42;Delta Option Trade;YMAZ;Jul24;3820;P;4;127.9999;21497;3822.2
02/12/2024 11:31:53;Delta Option Trade;WMAZ;Jul24;4600;C;60;28.5;16118;4253.98
02/12/2024 09:44:58;Delta Option Trade;WMAZ;Mar24;4360;C;3;39.24;10700;4337
02/12/2024 09:45:15;Delta Option Trade;WMAZ;Mar24;4560;C;2;39.37;4100;4337
02/12/2024 09:45:30;Delta Option Trade;WMAZ;Mar24;4700;C;7;41.72;2200;4337
02/12/2024 09:45:45;Delta Option Trade;WMAZ;Mar24;4800;C;10;41.64;1200;4337
02/12/2024 09:46:00;Delta Option Trade;WMAZ;Mar24;5000;C;4;43.4;400;4337
02/12/2024 09:46:16;Delta Option Trade;WMAZ;Mar24;4100;P;2;40.18;3500;4337
02/12/2024 10:18:22;Delta Option Trade;WMAZ;Jul24;4600;C;30;27.25;14893.17;4253
02/12/2024 12:04:59;Delta Option Trade;YMAZ;Jul24;3580;P;5;22.5;10271.99;3820
02/12/2024 12:07:31;Delta Option Trade;YMAZ;Jul24;4060;C;5;23.5;12298.76;3820
02/12/2024 10:39:02;Delta Option Trade;YMAZ;Jul24;3780;P;3;23.5;20675;3795
02/12/2024 10:46:13;Delta Option Trade;WMAZ;Jul24;4260;P;5;27.25;28205;4254
02/12/2024 12:02:13;Structured Trade;YMAZ;Jul24;3600;P;10;20.75;9569;3819.8
02/12/2024 12:02:14;Structured Trade;YMAZ;Jul24;4020;C;10;21.5;11820;3819.8
02/12/2024 12:02:14;Structured Trade;YMAZ;Jul24;3620;P;20;21;10470;3819.8
02/12/2024 09:29:19;Delta Option Trade;WMAZ;Jul24;3500;P;40;26.7;3834;4215
02/12/2024 10:38:03;Delta Option Trade;WMAZ;Mar24;4200;C;60;39.5;20058;4341
02/12/2024 11:16:28;Delta Option Trade;WMAZ;Jul24;4240;C;8;27.5;28341;4245.5
02/12/2024 11:46:25;Delta Option Trade;WMAZ;Mar24;4300;P;20;40.5;10176;4341
02/12/2024 11:46:40;Delta Option Trade;WMAZ;Mar24;4080;C;75;40.5;29170;4341
02/12/2024 12:06:18;Delta Option Trade;WMAZ;Jul24;3500;P;10;26.7;3810;4215
02/12/2024 12:04:59;Delta Option Trade;YMAZ;Jul24;3820;C;5;23.5;21600.2;3820
02/12/2024 12:05:40;Delta Option Trade;YMAZ;Jul24;3820;C;5;23;21141;3820
02/12/2024 10:13:58;Delta Option Trade;WMAZ;Jul24;4460;C;5;28;20182;4254
02/12/2024 09:38:58;Delta Option Trade;SOYA;May24;7720;C;2;21;28966;8178
