Name;Last;Chg.% 1D Chg.Abs.;DateTime;ISIN;Turnover Volume;Bid Volume;Ask Volume;Maturity;Status
CA Immo 1% Green Bonds 20-25;92.610;0.00%0.000;03/11/202417:30:33;XS2248827771;-;--;--;10/27/2025;D
OMV AG 1.875% Notes 18-28/S11;94.360;-0.07%-0.070;03/11/202417:30:31;XS1917590959;-;--;--;12/04/2028;D
OMV 1,5% Anleihe 20-24/S.15;100.060;+0.03%+0.030;03/11/202417:30:29;XS2154347293;-;--;--;04/09/2024;D
AT&S Unda.Res.Fixed.Subo.Notes;88.870;+0.15%+0.130;03/11/202417:30:26;XS2432941693;-;--;--;open-end;D
OMV 2,375% Anleihe 20-32/S.17;94.600;-0.22%-0.210;03/11/202417:30:26;XS2154348424;-;--;--;04/09/2032;D
Pierer Industrie 2,5%Anl.20-28;93.130;0.00%0.000;03/11/202417:30:22;AT0000A2JSQ5;-;--;--;04/22/2028;D
PORR Und.Res,Fix R.Subo.N.2024;104.440;0.00%0.000;03/11/202417:30:19;AT0000A39724;-;--;--;open-end;D
1,375%voestalpine-Anl.17-24/S1;98.580;0.00%0.000;03/11/202417:30:18;AT0000A1Y3P7;-;--;--;09/27/2024;D
Borealis 1,75 % Notes 18-25;96.760;0.00%0.000;03/11/202417:30:18;AT0000A24UY3;-;--;--;12/10/2025;D
OMV 0,75% Anleihe 20-30/S.19;86.290;-0.21%-0.180;03/11/202417:30:17;XS2189613982;-;--;--;06/16/2030;D
OMV 15y Notes 19-34;78.440;-0.32%-0.250;03/11/202417:30:16;XS2022093517;-;--;--;07/03/2034;D
Wienerberger 2% Bonds 18-24;99.390;+0.01%+0.010;03/11/202417:30:15;AT0000A20F93;-;--;--;05/02/2024;D
voestalpine 1,75% Anl.19-26/S1;96.010;-0.02%-0.020;03/11/202417:30:15;AT0000A27LQ1;-;--;--;04/10/2026;D
Telek.Fin.1,5% Anl. 16-26;96.130;-0.07%-0.070;03/11/202417:30:15;XS1405762805;-;--;--;12/07/2026;D
Wienerberger 2,75% Bonds 20-25;98.150;-0.02%-0.020;03/11/202417:30:12;AT0000A2GLA0;-;--;--;06/04/2025;D
OMV 2% Anleihe 20-28/S.16;96.030;-0.15%-0.140;03/11/202417:30:11;XS2154347707;-;--;--;04/09/2028;D
OMV 6y Notes 19-25;95.640;-0.08%-0.080;03/11/202417:30:10;XS2022093434;-;--;--;07/03/2025;D
Wienerberger Sust.Link.B.23-28;104.840;-0.10%-0.100;03/11/202417:30:10;AT0000A37249;24,000;--;--;10/04/2028;D
VERBUND 1,50 %  Notes 14-24;99.220;+0.01%+0.010;03/11/202417:30:10;XS1140300663;-;--;--;11/20/2024;D
OMV 1% Fi.Rate Notes 17-26/S.9;94.520;-0.08%-0.080;03/11/202417:30:10;XS1734689620;-;--;--;12/14/2026;D
