Trade Date;Trade Type;Short Name;Future Expiry;Strike;Call/Put;Quantity;Vol;Premium;Futures Price
03/12/2024 11:05:16;Delta Option Trade;WMAZ;Jul24;4400;C;2;32.5;81407.44;5129
03/12/2024 10:31:07;Delta Option Trade;WMAZ;Mar25;5340;C;20;21.73;30400;5037
03/12/2024 10:31:21;Delta Option Trade;WMAZ;Mar25;5040;P;20;22.51;44300;5037
03/12/2024 10:31:33;Delta Option Trade;WMAZ;Mar25;4340;P;20;21.22;13400;5037
03/12/2024 10:31:58;Delta Option Trade;WMAZ;Mar25;5340;C;15;21.73;30400;5037
03/12/2024 10:32:11;Delta Option Trade;WMAZ;Mar25;5040;P;15;22.51;44300;5037
03/12/2024 10:32:24;Delta Option Trade;WMAZ;Mar25;4340;P;15;21.22;13400;5037
03/12/2024 11:33:43;Delta Option Trade;WMAZ;Mar25;5340;C;10;21.73;30700;5044
03/12/2024 10:43:06;Delta Option Trade;WMAZ;Dec24;5260;C;2;25;43879;5257.3
03/12/2024 10:54:29;Delta Option Trade;WMAZ;Jul24;5160;C;10;32.75;35941;5160
03/12/2024 10:31:25;Delta Option Trade;WMAZ;Jul24;4340;P;2;30.5;5800;5150
03/12/2024 10:50:50;Delta Option Trade;SOYA;May24;8220;C;2;22;20212;8482.5
03/12/2024 10:52:11;Delta Option Trade;SOYA;May24;8160;C;4;22;22208;8482.5
03/12/2024 10:53:36;Delta Option Trade;SOYA;May24;8160;C;4;22;21861;8472.67
03/12/2024 09:37:45;Delta Option Trade;WMAZ;Jul24;5200;P;10;32;36810;5170
03/12/2024 10:28:17;Delta Option Trade;WMAZ;Jul24;4360;P;3;30.5;6303;5138
03/12/2024 10:43:05;Delta Option Trade;WMAZ;Dec24;4600;P;2;25;16402;5257.3
03/12/2024 10:43:05;Delta Option Trade;WMAZ;Dec24;5800;C;2;25;24080;5257.3
03/12/2024 10:54:30;Delta Option Trade;WMAZ;Jul24;4820;P;20;31;18649;5160
03/12/2024 09:14:53;Delta Option Trade;WMAZ;Jul24;5900;C;5;35.04;16400;5235
03/12/2024 10:20:54;Structured Trade;SOYA;May24;8480;P;2;23.04;13250;8485
03/12/2024 11:19:02;Delta Option Trade;YMAZ;Jul24;4100;P;50;23;14354;4235
