Trade Date;Trade Type;Short Name;Future Expiry;Strike;Call/Put;Quantity;Vol;Premium;Futures Price
03/12/2024 11:05:16;Delta Option Trade;WMAZ;Jul24;4400;C;2;32.5;81407.44;5129
03/12/2024 10:31:07;Delta Option Trade;WMAZ;Mar25;5340;C;20;21.73;30400;5037
03/12/2024 10:31:21;Delta Option Trade;WMAZ;Mar25;5040;P;20;22.51;44300;5037
03/12/2024 10:31:33;Delta Option Trade;WMAZ;Mar25;4340;P;20;21.22;13400;5037
03/12/2024 10:31:58;Delta Option Trade;WMAZ;Mar25;5340;C;15;21.73;30400;5037
03/12/2024 10:32:11;Delta Option Trade;WMAZ;Mar25;5040;P;15;22.51;44300;5037
03/12/2024 10:32:24;Delta Option Trade;WMAZ;Mar25;4340;P;15;21.22;13400;5037
03/12/2024 11:33:43;Delta Option Trade;WMAZ;Mar25;5340;C;10;21.73;30700;5044
03/12/2024 11:33:57;Delta Option Trade;WMAZ;Mar25;5040;P;10;22.52;44000;5044
03/12/2024 11:54:21;Delta Option Trade;WMAZ;Jul24;5700;C;1;32.92;15400;5110
03/12/2024 12:08:54;Delta Option Trade;YMAZ;Jul24;3760;C;15;22.38;51500;4235
03/12/2024 12:09:11;Delta Option Trade;SOYA;May24;8080;C;15;22.4;24750;8470
03/12/2024 12:09:11;Delta Option Trade;SOYA;May24;8240;C;15;22.36;19350;8470
03/12/2024 12:09:11;Delta Option Trade;SOYA;Dec24;8700;C;17;21.52;36900;8898
03/12/2024 12:12:24;Delta Option Trade;YMAZ;Dec24;3920;C;10;21.73;59350;4390
03/12/2024 12:12:24;Delta Option Trade;YMAZ;Dec24;4000;C;10;21.74;53900;4390
03/12/2024 12:04:42;Delta Option Trade;SOYA;May24;8480;C;25;127.9999;15001;8476.56
03/12/2024 12:17:37;Delta Option Trade;SOYA;May24;8480;C;112;127.9999;14579.27;8477.0609
03/12/2024 12:36:57;Delta Option Trade;WMAZ;Jul24;5140;P;15;32.5;35297;5145
03/12/2024 10:43:06;Delta Option Trade;WMAZ;Dec24;5260;C;2;25;43879;5257.3
03/12/2024 10:54:29;Delta Option Trade;WMAZ;Jul24;5160;C;10;32.75;35941;5160
03/12/2024 10:31:25;Delta Option Trade;WMAZ;Jul24;4340;P;2;30.5;5800;5150
03/12/2024 10:50:50;Delta Option Trade;SOYA;May24;8220;C;2;22;20212;8482.5
03/12/2024 10:52:11;Delta Option Trade;SOYA;May24;8160;C;4;22;22208;8482.5
03/12/2024 10:53:36;Delta Option Trade;SOYA;May24;8160;C;4;22;21861;8472.67
03/12/2024 09:37:45;Delta Option Trade;WMAZ;Jul24;5200;P;10;32;36810;5170
03/12/2024 10:28:17;Delta Option Trade;WMAZ;Jul24;4360;P;3;30.5;6303;5138
03/12/2024 10:43:05;Delta Option Trade;WMAZ;Dec24;4600;P;2;25;16402;5257.3
03/12/2024 10:43:05;Delta Option Trade;WMAZ;Dec24;5800;C;2;25;24080;5257.3
03/12/2024 12:36:57;Delta Option Trade;WMAZ;Jul24;5560;C;15;32.5;19875;5145
03/12/2024 12:36:57;Delta Option Trade;WMAZ;Jul24;4720;P;15;31.5;16037;5145
03/12/2024 12:12:24;Delta Option Trade;YMAZ;Dec24;4400;C;30;22.83;33100;4390
03/12/2024 10:54:30;Delta Option Trade;WMAZ;Jul24;4820;P;20;31;18649;5160
03/12/2024 11:44:23;Structured Trade;SOYA;May24;8500;C;163;27;15174.61;8479.2487
03/12/2024 12:09:58;Delta Option Trade;WMAZ;Jul24;5100;C;10;32.5;37316;5138
03/12/2024 09:14:53;Delta Option Trade;WMAZ;Jul24;5900;C;5;35.04;16400;5235
03/12/2024 12:09:58;Delta Option Trade;WMAZ;Jul24;4700;P;20;30.99;15100;5138
03/12/2024 10:20:54;Structured Trade;SOYA;May24;8480;P;2;23.04;13250;8485
03/12/2024 12:12:07;Delta Option Trade;WMAZ;Jul24;5900;C;5;35.06;13900;5144
03/12/2024 11:19:02;Delta Option Trade;YMAZ;Jul24;4100;P;50;23;14354;4235
