Name;Last;Chg.% 1D Chg.Abs.;DateTime;ISIN;Turnover Volume;Bid Volume;Ask Volume;Maturity;Status
HWBB 4,00% WB-WA 23-34/12 NOE;101.960;-0.03%-0.030;03/12/202410:22:00;AT0000A372V1;-;104.0002,500;104.990-;04/11/2034;q
1,65% Hypo-WBB WA NOE19-31/4S1;85.020;-0.04%-0.030;03/12/202410:22:00;AT0000A25YR6;-;85.020100,000;87.170-;07/23/2031;q
HYPO NOE 3,8% SV 23-26/03;98.130;-0.03%-0.030;03/12/202410:22:00;AT0000A35A00;-;98.130100,000;99.780-;06/09/2026;q
4,15% Bundesanl. 2007-2037/1;113.400;+0.23%+0.260;03/12/202410:00:00;AT0000A04967;-;113.3901,000,000;113.540990,000;03/15/2037;q
0,00% Bundesanl. 2020-2030/1;85.760;+0.07%+0.060;03/12/202410:00:00;AT0000A2CQD2;-;85.7501,000,000;85.9001,000,000;02/20/2030;q
0,50% Bundesanl. 2019-2029/1;90.300;+0.08%+0.070;03/12/202410:00:00;AT0000A269M8;-;90.2901,000,000;90.3901,000,000;02/20/2029;q
1,85% Bundesanl. 22-49/3 (G);79.860;+0.50%+0.400;03/12/202410:00:00;AT0000A2Y8G4;-;79.8601,000,000;80.1101,000,000;05/23/2049;q
2,40% Bundesanl. 2013-2034/1;96.640;+0.21%+0.200;03/12/202410:00:00;AT0000A10683;-;96.5901,000,000;96.7401,000,000;05/23/2034;q
0,70% Bundesanl. 2021-2071/2;46.610;+0.97%+0.450;03/12/202410:00:00;AT0000A2QQB6;-;46.570500,000;47.570500,000;04/20/2071;q
2,90% Bundesanl. 2023-2033/1;101.250;+0.20%+0.200;03/12/202410:00:00;AT0000A324S8;-;101.220981,000;101.3701,000,000;02/20/2033;q
3,15% Bundesanl. 2012-2044/4;102.400;+0.39%+0.400;03/12/202410:00:00;AT0000A0VRQ6;-;102.3701,000,000;102.610975,000;06/20/2044;q
0,50% Bundesanl. 2017-2027/1;93.540;+0.03%+0.030;03/12/202410:00:00;AT0000A1VGK0;-;93.5301,000,000;93.6301,000,000;04/20/2027;q
1,20% Bundesanl. 2015-2025/1;97.170;0.00%0.000;03/12/202410:00:00;AT0000A1FAP5;-;97.1601,000,000;97.2601,000,000;10/20/2025;q
1,65% Bundesanl. 2014-2024/1;98.830;0.00%0.000;03/12/202410:00:00;AT0000A185T1;-;98.8301,000,000;98.9301,000,000;10/21/2024;q
2,10% Bundesanl. 2017-2117/3;78.050;+0.94%+0.730;03/12/202410:00:00;AT0000A1XML2;-;78.030500,000;79.280416,000;09/20/2117;q
2,00% Bundesanl. 2022-2026/4;98.190;+0.01%+0.010;03/12/202410:00:00;AT0000A308C5;-;98.1601,000,000;98.2601,000,000;07/15/2026;q
0,75% Bundesanl. 2018-2028/1;92.980;+0.09%+0.080;03/12/202410:00:00;AT0000A1ZGE4;-;92.9601,000,000;93.0601,000,000;02/20/2028;q
3,15% Bundesanl. 2023-2053/3;102.540;+0.51%+0.520;03/12/202410:00:00;AT0000A33SK7;-;102.5301,000,000;102.7801,000,000;10/20/2053;q
0,00% Bundesanl. 2021-2031/1;83.260;+0.16%+0.130;03/12/202410:00:00;AT0000A2NW83;-;83.1901,000,000;83.3401,000,000;02/20/2031;q
2,90% Bundesanl. 23-29/2 (G);101.500;+0.06%+0.060;03/12/202409:59:48;AT0000A33SH3;-;101.5001,000,000;101.6001,000,000;05/23/2029;q
0,00% Bundesanl. 2021-2025/3;96.480;-0.05%-0.050;03/12/202409:59:48;AT0000A2QRW0;-;96.5005,000;96.5601,000,000;04/20/2025;q
0,00% Bundesanl. 2020-2040/5;61.590;+0.44%+0.270;03/12/202409:59:48;AT0000A2KQ43;-;--;67.0005,000;10/20/2040;q
0,25% Bundesanl. 2021-2036/4;72.340;+0.29%+0.210;03/12/202409:59:48;AT0000A2T198;-;72.3401,000,000;72.4601,000,000;10/20/2036;q
0,90% Bundesanl. 2022-2032/2;87.270;+0.21%+0.180;03/12/202409:59:48;AT0000A2WSC8;-;87.2101,000,000;87.2801,000,000;02/20/2032;q
0,00% Bundesanl. 2022-2028/1;88.820;+0.05%+0.040;03/12/202409:59:48;AT0000A2VB47;-;88.8201,000,000;88.8801,000,000;10/20/2028;q
0,85% Bundesanl. 2020-2120/4;47.380;+1.46%+0.680;03/12/202409:59:48;AT0000A2HLC4;-;47.3601,000,000;48.6101,000,000;06/30/2120;q
2,90% Bundesanl. 2024-2034/1;101.110;+0.22%+0.220;03/12/202409:59:48;AT0000A39UW5;-;101.0901,000,000;101.1601,000,000;02/20/2034;q
3,45% Bundesanl. 2023-2030/4;104.770;+0.15%+0.160;03/12/202409:59:48;AT0000A38239;-;104.7701,000,000;104.8401,000,000;10/20/2030;q
